10,,10,,10,,10,
MCH 271120 Adk4 Arctic Express 500 mL Culture001:10_UV1_280nm,,MCH 271120 Adk4 Arctic Express 500 mL Culture001:10_Cond,,MCH 271120 Adk4 Arctic Express 500 mL Culture001:10_Fractions,,MCH 271120 Adk4 Arctic Express 500 mL Culture001:10_Inject,
ml, mAU,ml, mS/cm,ml,(Fractions),ml,(Injections)
17.98,857.13,22.52,37.37,,,,
18.02,853.19,22.57,37.41,,,,
18.06,849.57,22.62,37.45,,,,
18.10,846.59,22.67,37.48,,,,
18.14,842.99,22.72,37.51,,,,
18.18,839.60,22.77,37.54,,,,
18.22,835.88,22.82,37.58,,,,
18.26,832.57,22.87,37.62,,,,
18.30,829.13,22.92,37.66,,,,
18.34,825.72,22.97,37.70,,,,
18.38,822.53,23.02,37.73,,,,
18.42,819.09,23.07,37.76,,,,
18.46,816.14,23.12,37.80,,,,
18.50,813.06,23.17,37.83,,,,
18.53,810.37,23.22,37.84,,,,
18.57,807.68,23.27,37.86,,,,
18.61,805.11,23.32,37.88,,,,
18.65,802.61,23.37,37.89,,,,
18.69,800.14,23.42,37.90,,,,
18.73,797.71,23.47,37.91,,,,
18.77,795.30,23.52,37.92,,,,
18.81,792.71,23.57,37.93,,,,
18.85,790.19,23.61,37.95,,,,
18.89,787.78,23.66,37.97,,,,
18.93,784.74,23.71,37.99,,,,
18.97,782.19,23.76,38.00,,,,
19.01,779.61,23.81,38.01,,,,
19.05,778.54,23.86,38.02,,,,
19.09,777.15,23.91,38.03,,,,
19.13,775.26,23.96,38.04,,,,
19.17,772.78,24.01,38.04,,,,
19.21,770.55,24.06,38.04,,,,
19.25,768.69,24.11,38.04,,,,
19.29,769.42,24.16,38.04,,,,
19.33,768.14,24.21,38.04,,,,
19.37,766.22,24.26,38.06,,,,
19.41,762.29,24.31,38.07,,,,
19.45,758.04,24.36,38.07,,,,
19.49,755.56,24.41,38.06,,,,
19.53,753.91,24.46,38.06,,,,
19.57,752.14,24.51,38.06,,,,
19.61,750.30,24.56,38.07,,,,
19.65,748.88,24.61,38.07,,,,
19.69,747.83,24.66,38.08,,,,
19.73,746.63,24.71,38.08,,,,
19.77,745.36,24.76,38.08,,,,
19.80,744.47,24.81,38.07,,,,
19.84,743.69,24.86,38.07,,,,
19.88,743.02,24.91,38.08,,,,
19.92,742.02,24.96,38.11,,,,
19.96,744.74,25.01,38.10,,,,
20.00,744.26,25.06,38.10,,,,
20.04,743.66,25.11,38.10,,,,
20.08,741.53,25.16,38.09,,,,
20.12,738.75,25.21,38.09,,,,
20.16,738.22,25.26,38.09,,,,
20.20,737.71,25.31,38.08,,,,
20.24,737.18,25.35,38.09,,,,
20.28,736.71,25.40,38.09,,,,
20.32,736.27,25.45,38.09,,,,
20.36,735.87,25.50,38.09,,,,
20.40,735.47,25.55,38.08,,,,
20.44,735.12,25.60,38.09,,,,
20.48,734.77,25.65,38.10,,,,
20.52,734.53,25.70,38.09,,,,
20.56,734.25,25.75,38.09,,,,
20.60,734.04,25.80,38.10,,,,
20.64,733.80,25.85,38.10,,,,
20.68,733.56,25.90,38.10,,,,
20.72,733.37,25.95,38.10,,,,
20.76,733.14,26.00,38.10,,,,
20.80,732.99,26.05,38.08,,,,
20.84,732.83,26.10,38.05,,,,
20.88,732.77,26.15,37.99,,,,
